     5240.3970 1.326735E+00  11653.1519   9  76.0  75.0  0  30730.3650  11  77.0  76.0  0 1.810658E+07 'TiO X C  R1   '
     5240.4006 2.234251E-01  10108.0270   4 106.0 107.0 -1  29185.2270   9 106.0 107.0  1 2.281264E+07 'TiO X B  Q3   '
     5240.4012 1.054868E+00  19329.1822   6 139.0 139.0  0  38406.3800   9 138.0 138.0  0 2.971715E+07 'TiO a c  P    '
     5240.4028 8.895150E-04   6788.8563   6  36.0  37.0  1  25866.0486  11  37.0  36.0 -1 2.261381E+07 'TiO X B PR13  '
     5240.4073 6.167400E-04  18165.8533   3 170.0 171.0  0  37243.0289   6 169.0 169.0  0 1.326841E+07 'TiO X C OP23  '
     5240.4073 3.318737E-07  16006.9771   4 128.0 128.0  1  35084.1529  15 127.0 127.0 -1 3.719257E+06 'TiO a b  P    '
     5240.4081 1.699814E-02  10108.0270   4 106.0 107.0 -1  29185.1998   9 107.0 107.0  1 2.301121E+07 'TiO X B QR23  '
     5240.4087 3.877292E-08   7804.7988   2  15.0  15.0 -1  26881.9693  14  16.0  16.0  1 4.497788E+06 'TiO d b  R    '
     5240.4087 5.238063E-02  11791.1161   2 137.0 136.0 -1  30868.2866   7 136.0 135.0  1 1.808253E+07 'TiO X B  P1   '
     5240.4088 9.042002E-03  20847.6694   8 137.0 137.0  0  39924.8395  10 138.0 138.0  0 1.872859E+07 'TiO a f  R    '
     5240.4094 2.360512E-03  17140.0829  13  49.0  49.0  0  36217.2510  15  49.0  49.0  0 1.771852E+07 'TiO a f  Q    '
     5240.4094 4.930009E-08  17124.6953   2 149.0 149.0  1  36201.8633  13 148.0 148.0 -1 3.660094E+06 'TiO a b  P    '
     5240.4106 2.711129E-02  12174.5066   9  81.0  81.0  1  31251.6705  15  80.0  81.0 -1 1.253733E+07 'TiO X B QP32  '
     5240.4110 1.583914E-01   6127.3100   6   8.0   9.0  0  25204.4722   7   7.0   8.0  0 2.074042E+07 'TiO X C  P3   '
     5240.4115 1.759111E-02   7322.5751   6  48.0  49.0 -1  26399.7354  11  49.0  49.0  1 2.288506E+07 'TiO X B QR23  '
     5240.4145 8.751000E-06  12356.3743   2 141.0 140.0  0  31433.5240   3 142.0 142.0  0 1.558934E+07 'TiO X C SR21  '
     5240.4160 6.175180E-07  13063.1715   1 152.0 151.0  0  32140.3156   9 151.0 150.0  0 7.593424E+06 'TiO X A  P1   '
     5240.4165 4.272048E-06   5622.8475   5  36.0  35.0  0  24699.9897  12  37.0  37.0  0 9.608003E+06 'TiO X A SR21  '
     5240.4170 1.282938E-04   9766.8404   0 136.0 135.0 -1  28843.9806   4 136.0 137.0  1 1.218614E+07 'TiO X B SQ31  '
     5240.4175 2.505786E-02   4587.1491   2  68.0  68.0 -1  23664.2877   6  68.0  69.0  1 1.511586E+07 'TiO X B RQ32  '
     5240.4192 4.328000E-11  13427.8071   1 152.0 153.0  0  32504.9395  11 153.0 153.0  0 1.308219E+05 'TiO X E QR23  '
     5240.4232 7.973592E-01  21155.1901   4 163.0 163.0  0  40232.3081   7 162.0 162.0  0 2.890525E+07 'TiO a c  P    '
     5240.4242 4.034702E-03   9996.3308   2 121.0 122.0  1  29073.4448   7 120.0 120.0 -1 1.684934E+07 'TiO X B OP23  '
